2025-05-22,botella de agua, papel,Plastics|Organics
2025-05-22,botella de agua, papel,Plastics|Organics
2025-05-22,muchos objetos,Gadgets|Plastics|Papers|Organics
2025-05-22,muchos objetos,Gadgets|Plastics|Papers|Organics
2025-05-22,yo,Gadgets|Papers
2025-05-22,yo,Gadgets|Papers
2025-05-22,yo,Gadgets|Papers
2025-05-22,yo,Gadgets|Papers
2025-05-22,yo,Gadgets|Papers
2025-05-22,yo,Gadgets|Papers
2025-11-24,Bolsa e agua,
2025-11-24,Bolsa e agua,
2025-11-24,Bolsa e agua,Gadgets|Papers
2025-11-24,Bolsa e agua,Gadgets|Papers
